2024-11-18 02:13:26,503 p=46913 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:13:26,512 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:28,724 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:28,729 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:28,733 p=46913 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 02:13:29,726 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:29,744 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:29,749 p=46913 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
2024-11-18 02:13:30,938 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:31,106 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:31,113 p=46913 u=jason n=ansible | TASK [init : Ensure Prometheus Node Exporter is running] ****************************************************************************************************************
2024-11-18 02:13:31,987 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:31,987 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:31,999 p=46913 u=jason n=ansible | PLAY [Configure DNS Server] *********************************************************************************************************************************************
2024-11-18 02:13:32,006 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:33,127 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:33,132 p=46913 u=jason n=ansible | TASK [bind : Install Bind9] *********************************************************************************************************************************************
2024-11-18 02:13:34,348 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:34,355 p=46913 u=jason n=ansible | TASK [bind : Template named.conf.options] *******************************************************************************************************************************
2024-11-18 02:13:35,206 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:35,212 p=46913 u=jason n=ansible | TASK [bind : Template named.conf.local] *********************************************************************************************************************************
2024-11-18 02:13:35,930 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:35,937 p=46913 u=jason n=ansible | TASK [bind : Template forward zone file] ********************************************************************************************************************************
2024-11-18 02:13:36,648 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:36,656 p=46913 u=jason n=ansible | TASK [bind : Template reverse zone file] ********************************************************************************************************************************
2024-11-18 02:13:37,360 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:37,368 p=46913 u=jason n=ansible | TASK [bind : Validate Bind9 Configuration] ******************************************************************************************************************************
2024-11-18 02:13:37,832 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:37,838 p=46913 u=jason n=ansible | TASK [bind : Validate Forward Zone] *************************************************************************************************************************************
2024-11-18 02:13:38,231 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:38,238 p=46913 u=jason n=ansible | TASK [bind : Validate Reverse Zone] *************************************************************************************************************************************
2024-11-18 02:13:38,626 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:38,635 p=46913 u=jason n=ansible | TASK [bind : Ensure Bind9 is running and enabled] ***********************************************************************************************************************
2024-11-18 02:13:39,255 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:39,263 p=46913 u=jason n=ansible | PLAY [Configure DNS Client] *********************************************************************************************************************************************
2024-11-18 02:13:39,268 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:40,471 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:40,473 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:40,478 p=46913 u=jason n=ansible | TASK [config-dns : Resolv.conf] *****************************************************************************************************************************************
2024-11-18 02:13:41,155 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:41,165 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:41,171 p=46913 u=jason n=ansible | TASK [config-dns : Stop systemd-resolved] *******************************************************************************************************************************
2024-11-18 02:13:41,817 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:41,818 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:41,830 p=46913 u=jason n=ansible | PLAY [Prometheus Server] ************************************************************************************************************************************************
2024-11-18 02:13:41,836 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:42,861 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:42,866 p=46913 u=jason n=ansible | TASK [prometheus : Install Prometheus] **********************************************************************************************************************************
2024-11-18 02:13:44,065 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:44,072 p=46913 u=jason n=ansible | TASK [prometheus : Modify /etc/prometheus/prometheus.yml] ***************************************************************************************************************
2024-11-18 02:13:44,758 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:44,764 p=46913 u=jason n=ansible | TASK [prometheus : Set Prometheus external URL] *************************************************************************************************************************
2024-11-18 02:13:45,182 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:45,193 p=46913 u=jason n=ansible | TASK [prometheus : Enable Prometheus] ***********************************************************************************************************************************
2024-11-18 02:13:45,749 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:45,757 p=46913 u=jason n=ansible | PLAY [Configure Database Server] ****************************************************************************************************************************************
2024-11-18 02:13:45,763 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:46,954 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:46,959 p=46913 u=jason n=ansible | TASK [mysql : Install MySQL Server] *************************************************************************************************************************************
2024-11-18 02:13:48,074 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:48,080 p=46913 u=jason n=ansible | TASK [mysql : Copy Override Config] *************************************************************************************************************************************
2024-11-18 02:13:48,890 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:48,897 p=46913 u=jason n=ansible | TASK [mysql : Enable and Start MySQL Server] ****************************************************************************************************************************
2024-11-18 02:13:49,597 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:49,603 p=46913 u=jason n=ansible | TASK [mysql : MySQL Database] *******************************************************************************************************************************************
2024-11-18 02:13:50,137 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:50,144 p=46913 u=jason n=ansible | TASK [mysql : Create MySQL User] ****************************************************************************************************************************************
2024-11-18 02:13:50,692 p=46913 u=jason n=ansible | [WARNING]: Option column_case_sensitive is not provided. The default is now false, so the column's name will be uppercased. The default will be changed to true in
community.mysql 4.0.0.

2024-11-18 02:13:50,692 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:13:50,699 p=46913 u=jason n=ansible | PLAY [Configure Agama] **************************************************************************************************************************************************
2024-11-18 02:13:50,706 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:51,765 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:51,770 p=46913 u=jason n=ansible | TASK [agama : make user Agama] ******************************************************************************************************************************************
2024-11-18 02:13:52,357 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:52,363 p=46913 u=jason n=ansible | TASK [agama : Agama is owner now] ***************************************************************************************************************************************
2024-11-18 02:13:52,783 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:52,789 p=46913 u=jason n=ansible | TASK [agama : download python3 flask sql] *******************************************************************************************************************************
2024-11-18 02:13:53,896 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:53,900 p=46913 u=jason n=ansible | TASK [agama : Download agama.py] ****************************************************************************************************************************************
2024-11-18 02:13:54,600 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:54,607 p=46913 u=jason n=ansible | PLAY [Configure uWSGI] **************************************************************************************************************************************************
2024-11-18 02:13:54,611 p=46913 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:13:55,662 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:55,667 p=46913 u=jason n=ansible | TASK [uwsgi : Install uWSGI] ********************************************************************************************************************************************
2024-11-18 02:13:56,862 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:56,867 p=46913 u=jason n=ansible | TASK [uwsgi : Configure host uwsgi] *************************************************************************************************************************************
2024-11-18 02:13:57,594 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:57,600 p=46913 u=jason n=ansible | TASK [uwsgi : Enable and start uWSGI service] ***************************************************************************************************************************
2024-11-18 02:13:58,201 p=46913 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:13:58,207 p=46913 u=jason n=ansible | [WARNING]: Could not match supplied host pattern, ignoring: nginx_servers

2024-11-18 02:13:58,208 p=46913 u=jason n=ansible | PLAY [Configure Nginx] **************************************************************************************************************************************************
2024-11-18 02:13:58,208 p=46913 u=jason n=ansible | skipping: no hosts matched
2024-11-18 02:13:58,208 p=46913 u=jason n=ansible | PLAY RECAP **************************************************************************************************************************************************************
2024-11-18 02:13:58,208 p=46913 u=jason n=ansible | 1PipeTeaseOps-1            : ok=16   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:13:58,208 p=46913 u=jason n=ansible | 1PipeTeaseOps-2            : ok=28   changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-11-18 02:17:02,664 p=48226 u=jason n=ansible | PLAY [Initial setup] ****************************************************************************************************************************************************
2024-11-18 02:17:02,673 p=48226 u=jason n=ansible | TASK [Gathering Facts] **************************************************************************************************************************************************
2024-11-18 02:17:04,594 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:04,598 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:04,602 p=48226 u=jason n=ansible | TASK [init : Update APT cache] ******************************************************************************************************************************************
2024-11-18 02:17:05,590 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-1]
2024-11-18 02:17:05,595 p=48226 u=jason n=ansible | ok: [1PipeTeaseOps-2]
2024-11-18 02:17:05,602 p=48226 u=jason n=ansible | TASK [init : Install Prometheus Node Exporter] **************************************************************************************************************************
